time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1760555327303004700,0.077004638671875,0.19001355577532578,0.01175690483845757,0.09469553664272845,-0.029527820003113905,0.9953423761848427,-0.01370909402019618,0.02080941299001174
1760555327313010700,0.0870107421875,0.18999285237327015,0.011733265696126718,0.09468644032964012,-0.02936432987770604,0.995344621410038,-0.013629355005050301,0.020777750564139576
1760555327323016700,0.0970166015625,0.18999036388240065,0.011659451901589386,0.09468565812982717,-0.029502068399453924,0.9953445114445483,-0.013705583505595404,0.020616358936929313
1760555327333022700,0.107022705078125,0.18998731823343157,0.011620911543799394,0.09468388513396814,-0.029670710608161083,0.9953440106444229,-0.013793966503094507,0.02052291737158225
1760555327343028500,0.117028564453125,0.18996934540510726,0.01153821852359597,0.09467620889315659,-0.029678261865976645,0.9953455309262875,-0.013805742310887536,0.020356283636573807
1760555327353034800,0.12703466796875,0.18995185593249256,0.011487517787471828,0.09466923386662972,-0.029492249182325313,0.9953480063250689,-0.013717255535786212,0.020272340228021737
1760555327363041500,0.13704150390625,0.18995221000296045,0.011443041243631824,0.09467086568674611,-0.02934021853783052,0.9953493574491595,-0.01364514895808095,0.020197424550935823
1760555327373047600,0.147047607421875,0.18994553174773499,0.011434652808897347,0.09466770531232328,-0.029334128926788643,0.9953497579877914,-0.013642925347309024,0.02018123882193491
1760555327383053800,0.1570537109375,0.1899478094027677,0.011459049700434544,0.09466802422730343,-0.029420833985485034,0.9953488920943939,-0.013684128441771522,0.020221984238448582
1760555327393059800,0.167059814453125,0.18993522528730922,0.011463082821751189,0.09466140570094747,-0.02947943230137658,0.9953490617672562,-0.013713235214121985,0.02022468796849382
1760555327403065600,0.177065673828125,0.18993905585239135,0.011496372168042893,0.09466302482212294,-0.02943301278258972,0.9953488580528527,-0.013686728704618909,0.020295940913173608
1760555327413071600,0.187071533203125,0.18993264322730266,0.011517756616808797,0.09465997464836275,-0.02933847359422445,0.995349547821123,-0.01363724498828803,0.0203479892712869
1760555327423077600,0.19707763671875,0.18992755235581377,0.011541343845522722,0.09465715652833195,-0.029319801825286207,0.9953497987255839,-0.013625642732227999,0.02039723369256322
1760555327433083600,0.207083740234375,0.18992465438858552,0.011549427946146686,0.09465515587232844,-0.02940551199559862,0.9953493184078934,-0.013667929088437853,0.020405366583252146
1760555327443090700,0.217090576171875,0.18992231907105073,0.011543080035081666,0.09465372747483185,-0.029478031511049472,0.9953490266048562,-0.013704965075760496,0.02038574684615099
1760555327453096700,0.2270966796875,0.18991315630304634,0.0115196926926149,0.09464980904094791,-0.02942389984572942,0.9953499734937656,-0.01368005914626632,0.020344024960378237
1760555327463102500,0.2371025390625,0.1899037140935675,0.011464045115414252,0.09464672416128594,-0.029275055368260364,0.9953518633196486,-0.013610667323301268,0.020246490395150005
1760555327473108700,0.247108642578125,0.1898893180937613,0.011396137660064833,0.09464136389443051,-0.029123931581997543,0.9953541351086638,-0.013541324165741626,0.020124605094892944
1760555327483114800,0.25711474609375,0.1898852359462433,0.011324689944403995,0.09464060855997608,-0.029089892771725894,0.9953551598136169,-0.01353106525902769,0.01998433081313397
1760555327493120800,0.267120849609375,0.18988725764451403,0.01126388367713135,0.09464217023866031,-0.029169907440928997,0.9953550208113038,-0.013577037917053584,0.01985451009677133
1760555327503126500,0.27712646484375,0.1898829861795722,0.011219956566716507,0.09464026982721492,-0.029263309972245497,0.9953550105312363,-0.013628154436226756,0.01975742092556278
1760555327513132500,0.287132568359375,0.1898790341415091,0.011196903910795608,0.09463887225912646,-0.02921992610024298,0.9953556732827572,-0.01360858559653766,0.019715278444845847
1760555327523138800,0.297138916015625,0.18986766870368735,0.01120979164702756,0.09463392415750235,-0.02903285345037185,0.9953573101890799,-0.013513466458883874,0.01975911711275405
1760555327533144800,0.307144775390625,0.18987100943378665,0.011218050440965875,0.09463637660276847,-0.02884461388294511,0.9953582889074585,-0.01341812980000758,0.019793565059192497
