time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1760555091959898600,0.073898681640625,0.1536362362125464,-0.0035205723022711725,-0.07674482826507104,0.001542342227230233,-0.9970440618323781,-0.0010444238954082337,0.007180701390400635
1760555091969902800,0.08390283203125,0.15378497555363818,-0.003606159663734151,-0.07681445217409882,-0.0010000106847522772,-0.9970388869393241,0.00022364952701112387,0.007156664894061853
1760555091979906800,0.09390673828125,0.15387282297543325,-0.0036832908302301915,-0.07685502656557852,-0.002761693390082659,-0.9970348595462594,0.0011009945798894783,0.007175566352469351
1760555091989911800,0.103911865234375,0.15388687086453073,-0.003769654111538944,-0.07686408184825062,-0.0015646918501246413,-0.9970342936440925,0.0004940381166921937,0.0074410699441771755
1760555091999915800,0.113915771484375,0.15388023447588928,-0.003858397186216053,-0.07686232673926871,-0.0006953488305534543,-0.9970342101672919,0.00005125073134729172,0.007686105158664448
1760555092009920000,0.123919921875,0.1538976841054945,-0.003922148582972141,-0.07686887944452825,-0.0017865933613045665,-0.9970333284100585,0.0005935391873144866,0.007729853304968674
1760555092019925000,0.133925048828125,0.15388664138546534,-0.0039810014525116155,-0.07686283019656667,-0.0020320784091776285,-0.9970334474091865,0.0007121288965778191,0.00782899069669956
1760555092029929000,0.143928955078125,0.15388444362909948,-0.004063822269661323,-0.07686382733944352,-0.0009255950002473773,-0.9970332989447093,0.0001508689752107789,0.008080427446653408
1760555092039932700,0.1539326171875,0.1538911511840801,-0.004135851438852855,-0.07686623070466521,-0.0013573991193016068,-0.9970328460822293,0.0003618429128368715,0.008191624073519744
1760555092049938000,0.16393798828125,0.15389969434699016,-0.004195275298213271,-0.07686828021011312,-0.00240626681336477,-0.9970321249305172,0.0008832292172754152,0.008229956773748222
1760555092059942000,0.17394189453125,0.1538985198348495,-0.004260497271426202,-0.07686871072665892,-0.0018732774629061843,-0.9970319070451211,0.0006109194578750532,0.008401881106843244
1760555092069947000,0.18394677734375,0.15388098323846658,-0.00430198402217192,-0.07685978222114312,-0.0019368668436587572,-0.9970324019591407,0.0006396466537012339,0.008480210361191539
1760555092079951000,0.193951171875,0.15389768773307988,-0.004307145408804608,-0.07686562279173367,-0.0031231583376001167,-0.9970313439044164,0.0012341137950678193,0.008399094851478354
1760555092089955000,0.203955078125,0.15390446859871812,-0.0042948512181637056,-0.07686894469041428,-0.003160617405700162,-0.9970311682067283,0.0012538324329317838,0.008371537285655017
1760555092099960000,0.2139599609375,0.1539059403036117,-0.004246696780811753,-0.07687011993555308,-0.0029886101151878628,-0.9970314229828077,0.0011712844656649013,0.008288201605679009
1760555092109964000,0.223964111328125,0.15391939395933188,-0.004143824231118094,-0.07687536505097135,-0.003815885000453548,-0.9970308369753428,0.0015940515390416856,0.008018040406565962
1760555092119968300,0.23396826171875,0.1539283599298064,-0.004040088197646893,-0.07688033354594011,-0.0036762052199568636,-0.997030993508251,0.0015319874102558226,0.007820706616269503
1760555092129973200,0.24397314453125,0.1539298054646716,-0.0039739354161966904,-0.07688176186829337,-0.0033799308815164013,-0.9970313447498381,0.0013885108367496382,0.0077108504356349465
1760555092139977000,0.25397705078125,0.15393683295060673,-0.003936712040408437,-0.07688433129449074,-0.003911822249336982,-0.9970309370819014,0.0016581012562487847,0.007595156399391561
1760555092149981000,0.26398095703125,0.15392796747847004,-0.003928406665283761,-0.07688021449827005,-0.0037647811084379193,-0.9970313031279682,0.0015850205881998303,0.007589848257464876
1760555092159986000,0.27398583984375,0.15392158951036797,-0.0039059083635637907,-0.07687734827439845,-0.0036227691539709272,-0.9970317374768355,0.0015155515880877182,0.007555677919658314
1760555092169990100,0.283990234375,0.1539203045688602,-0.00385859099300014,-0.07687600104547636,-0.004059172177912863,-0.9970316777520171,0.0017380505868009937,0.007427114427825065
1760555092179994000,0.293994140625,0.15392438217813328,-0.00380760509883547,-0.07687865821638126,-0.0037820025303767534,-0.9970318601816468,0.0016029800298205659,0.0073462033562626625
1760555092189999000,0.3039990234375,0.15391539029581067,-0.003743618639240792,-0.07687471138222597,-0.003560436552397657,-0.997032570624706,0.0014968200283004178,0.0072349473333817
1760555092200003000,0.314003173828125,0.15391958316655627,-0.0036690896329778433,-0.07687643287027714,-0.0038579412979778266,-0.9970324772759501,0.0016517528480404883,0.0070625000298330165
1760555092210008000,0.324008056640625,0.15392611228143682,-0.003604790305327371,-0.07688011690870589,-0.0036900390387679754,-0.9970325683769143,0.0015725004058318671,0.006946454507759473
1760555092220012000,0.334011962890625,0.1539323073647173,-0.0035736156656972066,-0.07688317042749002,-0.0037506890827814212,-0.9970323566497015,0.0016053088523301524,0.006879232688188024
1760555092230016000,0.34401611328125,0.15393020131122367,-0.003558121646824899,-0.07688157511412222,-0.004091597112727643,-0.9970322590790326,0.0017774663077767786,0.006821868220746512
1760555092240021000,0.35402099609375,0.15392545304397653,-0.0035712521849350083,-0.07687935088045773,-0.003990378375034491,-0.9970324569188991,0.0017257025477781952,0.006856020608176707
1760555092250025000,0.36402490234375,0.15392138085074836,-0.0035880370421784383,-0.07687718306601453,-0.004048213843530827,-0.997032530173656,0.0017534184514567698,0.006885237959183951
1760555092260029200,0.374029296875,0.15392633467955943,-0.0036046031610117175,-0.07687937123743957,-0.004191216939866196,-0.997032155759806,0.001823845606526868,0.006907433242144325
1760555092270034200,0.3840341796875,0.15392684226452458,-0.00361552080669329,-0.07687978669298796,-0.004079366270914412,-0.9970322389089626,0.0017669116916861404,0.006937957681442818
1760555092280038100,0.3940380859375,0.15392592496612237,-0.0036256189742483254,-0.07687907924707665,-0.0042117611959841695,-0.9970321219748803,0.0018325280130332502,0.006948006928200978
1760555092290043100,0.404043212890625,0.15392787117187992,-0.0036503291902273785,-0.0768798147385676,-0.004313632400917387,-0.9970318771309736,0.0018817053259282078,0.006989715730589941
1760555092300047000,0.414047119140625,0.1539345654930188,-0.0036992764141319263,-0.07688312209880087,-0.0042618652316845996,-0.997031523337468,0.0018519581523078136,0.007091881194648398
1760555092310051000,0.424051025390625,0.15393537679097827,-0.0037570368982103434,-0.0768833336764298,-0.0042922779481415355,-0.9970312650535189,0.0018627531721061214,0.007205399503473354
1760555092320056000,0.43405615234375,0.15393559038639662,-0.0038101511284823523,-0.07688330395276208,-0.004295583725066238,-0.9970310882737561,0.0018603139470220735,0.007311689234914741
1760555092330060000,0.44406005859375,0.15394325904032877,-0.0038476757188720045,-0.07688715227769802,-0.004230534287630924,-0.9970307461593828,0.0018247844636893147,0.007391964341437189
1760555092340064000,0.45406396484375,0.15394728245988032,-0.003852477826484897,-0.07688944262007795,-0.004068196062670385,-0.9970307216972495,0.0017429970854235602,0.007414109270748013
1760555092350069000,0.464069091796875,0.15395120068376628,-0.0038329791361439744,-0.07689193876755637,-0.0037999413722941294,-0.997030739067443,0.00160996937576779,0.007395676127391561
1760555092360073200,0.4740732421875,0.15395019814425562,-0.0038260766514849522,-0.07689188285095665,-0.0035645300539644048,-0.9970309833958042,0.0014924493240195329,0.007399986992380806
1760555092370077200,0.4840771484375,0.1539472046544567,-0.003820351270481876,-0.07689083146786556,-0.0033303552767014613,-0.9970312565643099,0.0013754622959580348,0.007406566093360179
1760555092380082200,0.494082275390625,0.15395850935252547,-0.0038164335777244665,-0.07689668320209739,-0.0032183349413037687,-0.9970308557952497,0.0013195674489640528,0.007407331090066792
1760555092390086100,0.504086181640625,0.15396537836785998,-0.003818517506882529,-0.07690013186928128,-0.0032022612653078435,-0.9970306088290428,0.0013113332680139477,0.007412742153581267
1760555092400091100,0.514091064453125,0.15396690947672811,-0.003831232228936261,-0.0769010083111741,-0.0031283185209830242,-0.997030530863698,0.0012732686832114528,0.0074439484625891976
1760555092410095000,0.52409521484375,0.15396845318124147,-0.00384042394380265,-0.07690177433816557,-0.0031201983068797874,-0.9970304627156283,0.0012684845729715969,0.007463011171781753
