time,seconds_elapsed,z,y,x
1760554526532666600,0.05466650390625,-0.9573822021484375,-0.3399658203125,0.158905029296875
1760554526542671600,0.064671630859375,-0.9881439208984375,-0.325714111328125,0.06378173828125
1760554526552675800,0.07467578125,-0.9923553466796875,-0.347747802734375,0.0526885986328125
1760554526562679800,0.0846796875,-0.9496002197265625,-0.3622894287109375,0.0683135986328125
1760554526572684800,0.094684814453125,-0.89501953125,-0.3958740234375,0.12847900390625
1760554526582688500,0.1046884765625,-0.8294830322265625,-0.46966552734375,0.18585205078125
1760554526592693500,0.114693603515625,-0.800262451171875,-0.5564422607421875,0.2235565185546875
1760554526602697700,0.12469775390625,-0.8238677978515625,-0.581146240234375,0.2656097412109375
1760554526612701700,0.13470166015625,-0.8225250244140625,-0.4126434326171875,0.22149658203125
1760554526622706700,0.144706787109375,-0.7756805419921875,-0.2301788330078125,0.1361846923828125
1760554526632710700,0.154710693359375,-0.766204833984375,-0.2696380615234375,0.09320068359375
1760554526642715600,0.164715576171875,-0.7402191162109375,-0.29833984375,0.0409393310546875
1760554526652719600,0.1747197265625,-0.7232513427734375,-0.343231201171875,0.0123748779296875
1760554526662723600,0.1847236328125,-0.7229156494140625,-0.367950439453125,0.003692626953125
1760554526672728600,0.194728515625,-0.7283782958984375,-0.3745269775390625,-0.007659912109375
1760554526682732500,0.204732666015625,-0.732940673828125,-0.3885650634765625,-0.0328826904296875
1760554526692737500,0.214737548828125,-0.7286376953125,-0.374786376953125,-0.0634765625
1760554526702741500,0.224741455078125,-0.70263671875,-0.3350372314453125,-0.0992584228515625
1760554526712745700,0.234745849609375,-0.6650238037109375,-0.27752685546875,-0.14129638671875
1760554526722750700,0.244750732421875,-0.6551971435546875,-0.237091064453125,-0.189971923828125
1760554526732754700,0.254754638671875,-0.66015625,-0.195404052734375,-0.2279815673828125
1760554526742759700,0.264759765625,-0.669525146484375,-0.156463623046875,-0.230712890625
1760554526752763600,0.274763671875,-0.692474365234375,-0.126953125,-0.1967926025390625
1760554526762767600,0.284767578125,-0.724822998046875,-0.1024322509765625,-0.136077880859375
1760554526772772600,0.294772705078125,-0.7652130126953125,-0.0572967529296875,-0.067291259765625
1760554526782776600,0.304776611328125,-0.7914886474609375,-0.00439453125,-0.00152587890625
1760554526792781600,0.314781494140625,-0.7977447509765625,0.016326904296875,0.0704193115234375
1760554526802785500,0.32478564453125,-0.8148651123046875,-0.0055084228515625,0.1319580078125
1760554526812789800,0.334789794921875,-0.83740234375,-0.0453643798828125,0.191619873046875
1760554526822794800,0.344794677734375,-0.8509979248046875,-0.09539794921875,0.2523040771484375
1760554526832798700,0.354798828125,-0.8709869384765625,-0.147430419921875,0.3076019287109375
1760554526842803700,0.3648037109375,-0.887451171875,-0.20391845703125,0.34674072265625
1760554526852807700,0.3748076171875,-0.9281005859375,-0.2139892578125,0.346954345703125
1760554526862811600,0.384811767578125,-0.98291015625,-0.1990203857421875,0.272247314453125
1760554526872816600,0.394816650390625,-0.7028961181640625,-0.162445068359375,0.012603759765625
1760554526882820600,0.404820556640625,-0.68731689453125,-0.130035400390625,0.2578125
1760554526892825600,0.41482568359375,-0.989776611328125,-0.265045166015625,1.1148223876953125
1760554526902829600,0.42482958984375,-1.102203369140625,-0.3600006103515625,0.901336669921875
1760554526912833800,0.434833740234375,-1.3578643798828125,-0.2812652587890625,0.815185546875
1760554526922838800,0.4448388671875,-1.5018157958984375,-0.1249542236328125,0.61566162109375
1760554526932842800,0.4548427734375,-1.3195343017578125,-0.0273284912109375,0.3303680419921875
1760554526942847700,0.46484765625,-0.7287750244140625,0.0890350341796875,-0.3831939697265625
1760554526952851500,0.4748515625,-0.9574432373046875,0.1438751220703125,-0.36279296875
1760554526962855700,0.484855712890625,-0.945281982421875,0.0640411376953125,-0.3021697998046875
1760554526972860700,0.494860595703125,-0.96258544921875,-0.06689453125,-0.070770263671875
1760554526982864600,0.50486474609375,-1.083984375,-0.2107391357421875,0.25006103515625
1760554526992869600,0.51486962890625,-1.137664794921875,-0.2413787841796875,0.5662994384765625
1760554527002873600,0.52487353515625,-1.06988525390625,-0.2862396240234375,0.5828399658203125
1760554527012877800,0.5348779296875,-0.991455078125,-0.186492919921875,0.6631011962890625
1760554527022882800,0.5448828125,-1.027099609375,-0.07086181640625,0.6331939697265625
1760554527032886800,0.55488671875,-0.948699951171875,-0.1012115478515625,0.2315673828125
1760554527042891800,0.564891845703125,-0.88702392578125,-0.1606597900390625,-0.0867156982421875
1760554527052895500,0.5748955078125,-0.56683349609375,-0.0090789794921875,-0.241180419921875
1760554527062899700,0.584899658203125,-0.6165924072265625,0.2406463623046875,-0.0606536865234375
1760554527072904700,0.59490478515625,-0.88189697265625,0.1823883056640625,0.33856201171875
1760554527082908700,0.60490869140625,-0.8702239990234375,0.0157928466796875,0.52099609375
1760554527092913700,0.61491357421875,-0.8270721435546875,-0.138671875,0.64544677734375
1760554527102917600,0.624917724609375,-0.7156982421875,-0.2923126220703125,0.616455078125
1760554527112921600,0.634921630859375,-0.7089996337890625,-0.261199951171875,0.534759521484375
1760554527122926600,0.644926513671875,-0.809814453125,-0.051513671875,0.496917724609375
1760554527132930800,0.654930908203125,-0.8902740478515625,0.2231903076171875,0.4853515625
1760554527142935800,0.664935791015625,-0.9645843505859375,0.380462646484375,0.3817291259765625
1760554527152939500,0.674939453125,-1.0153350830078125,0.3972930908203125,0.2730712890625
1760554527162943500,0.684943603515625,-1.0615386962890625,0.41204833984375,0.3143768310546875
1760554527172948500,0.694948486328125,-0.983856201171875,0.3990631103515625,0.352569580078125
1760554527182952700,0.70495263671875,-0.9859771728515625,0.407440185546875,0.3947296142578125
1760554527192957700,0.714957763671875,-1.0872802734375,0.4066162109375,0.3437042236328125
1760554527202961700,0.724961669921875,-1.1236114501953125,0.46875,0.2066497802734375
1760554527212966700,0.734966552734375,-1.1687469482421875,0.55517578125,0.0621490478515625
1760554527222970600,0.744970703125,-1.24224853515625,0.627960205078125,-0.0186767578125
1760554527232974800,0.754974853515625,-1.2879638671875,0.6263885498046875,-0.0996856689453125
1760554527242979800,0.764979736328125,-1.246124267578125,0.562469482421875,-0.19256591796875
1760554527252983600,0.774983642578125,-1.1333160400390625,0.5313720703125,-0.1447296142578125
1760554527262988500,0.784988525390625,-1.0767059326171875,0.44976806640625,-0.071807861328125
