time,seconds_elapsed,z,y,x
1760554736166498600,0.05749853515625,-1.0005645751953125,-0.024810791015625,0.0076904296875
1760554736176502500,0.06750244140625,-0.99853515625,-0.0242462158203125,0.00762939453125
1760554736186507500,0.077507568359375,-0.99932861328125,-0.0238189697265625,0.0065460205078125
1760554736196511500,0.087511474609375,-0.9989776611328125,-0.0253143310546875,0.0065765380859375
1760554736206516500,0.0975166015625,-0.99761962890625,-0.02520751953125,0.0044708251953125
1760554736216520400,0.1075205078125,-0.9989471435546875,-0.0244293212890625,0.0064697265625
1760554736226524700,0.117524658203125,-0.9989776611328125,-0.025177001953125,0.008941650390625
1760554736236529700,0.12752978515625,-0.99871826171875,-0.0256805419921875,0.011077880859375
1760554736246533600,0.13753369140625,-0.9979095458984375,-0.026824951171875,0.0089569091796875
1760554736256537600,0.14753759765625,-0.9982452392578125,-0.0274658203125,0.0108489990234375
1760554736266542600,0.15754248046875,-0.997802734375,-0.02838134765625,0.0118408203125
1760554736276546600,0.167546630859375,-0.9983367919921875,-0.0279388427734375,0.0094451904296875
1760554736286550500,0.177550537109375,-0.998077392578125,-0.025970458984375,0.0079193115234375
1760554736296555500,0.187555419921875,-0.99951171875,-0.024749755859375,0.00885009765625
1760554736306559500,0.1975595703125,-0.998779296875,-0.027435302734375,0.010589599609375
1760554736316563700,0.207563720703125,-0.99896240234375,-0.02545166015625,0.009368896484375
1760554736326568700,0.217568603515625,-0.9972991943359375,-0.0272674560546875,0.0113067626953125
1760554736336572700,0.22757275390625,-0.9978485107421875,-0.0283660888671875,0.0086212158203125
1760554736346576600,0.23757666015625,-0.9987945556640625,-0.0279388427734375,0.0108642578125
1760554736356581600,0.24758154296875,-0.998138427734375,-0.027191162109375,0.0128631591796875
1760554736366585600,0.257585693359375,-0.9971160888671875,-0.0265350341796875,0.0115814208984375
1760554736376589600,0.267589599609375,-0.997833251953125,-0.0263519287109375,0.010284423828125
1760554736386594600,0.277594482421875,-0.99713134765625,-0.02545166015625,0.0087890625
1760554736396598500,0.2875986328125,-0.99932861328125,-0.0261993408203125,0.0084075927734375
1760554736406603500,0.297603515625,-0.9998321533203125,-0.02593994140625,0.0066375732421875
1760554736416607700,0.307607666015625,-0.997528076171875,-0.0270843505859375,0.006927490234375
1760554736426611700,0.31761181640625,-0.9984893798828125,-0.0264434814453125,0.009765625
1760554736436616700,0.32761669921875,-0.9987640380859375,-0.0251617431640625,0.0109405517578125
1760554736446620400,0.337620361328125,-0.9979095458984375,-0.025726318359375,0.0097503662109375
1760554736456624400,0.347624267578125,-0.998260498046875,-0.0251312255859375,0.0092926025390625
1760554736466629600,0.357629638671875,-0.998931884765625,-0.0267791748046875,0.0081024169921875
1760554736476633600,0.367633544921875,-0.9979705810546875,-0.02642822265625,0.0086669921875
1760554736486637600,0.377637451171875,-0.997711181640625,-0.026397705078125,0.008941650390625
1760554736496645400,0.387645263671875,-0.9979400634765625,-0.026702880859375,0.009307861328125
1760554736506649600,0.397649658203125,-0.997833251953125,-0.02703857421875,0.0087890625
1760554736516653600,0.407653564453125,-0.9978790283203125,-0.027587890625,0.009490966796875
1760554736526658600,0.417658447265625,-0.99871826171875,-0.02667236328125,0.0089874267578125
1760554736536662500,0.42766259765625,-0.998443603515625,-0.0265960693359375,0.0092926025390625
1760554736546666500,0.43766650390625,-0.9968414306640625,-0.0269317626953125,0.0072021484375
1760554736556671500,0.44767138671875,-0.996185302734375,-0.0291748046875,0.00439453125
1760554736566675500,0.457675537109375,-0.9969940185546875,-0.03155517578125,0.001312255859375
1760554736576680400,0.467680419921875,-0.9982147216796875,-0.0289306640625,0.0019683837890625
1760554736586684400,0.477684326171875,-0.999359130859375,-0.025787353515625,0.0076751708984375
1760554736596688400,0.4876884765625,-1.0015411376953125,-0.02227783203125,0.011749267578125
1760554736606693600,0.497693603515625,-0.999847412109375,-0.0191650390625,0.0145721435546875
1760554736616697600,0.507697509765625,-0.998504638671875,-0.019866943359375,0.0139312744140625
1760554736626701600,0.51770166015625,-0.9991455078125,-0.0236663818359375,0.0102691650390625
1760554736636706600,0.52770654296875,-0.9989013671875,-0.027618408203125,0.00701904296875
1760554736646710300,0.537710205078125,-0.9978179931640625,-0.02789306640625,0.00811767578125
1760554736656714500,0.547714599609375,-0.9980621337890625,-0.0280303955078125,0.0089569091796875
1760554736666719500,0.557719482421875,-0.99951171875,-0.0258026123046875,0.01336669921875
1760554736676723500,0.567723388671875,-0.9986419677734375,-0.02593994140625,0.0149383544921875
1760554736686727400,0.5777275390625,-0.99951171875,-0.027923583984375,0.014373779296875
1760554736696732400,0.587732421875,-0.9969482421875,-0.0283966064453125,0.0102386474609375
1760554736706736600,0.597736572265625,-0.9957275390625,-0.0303497314453125,0.00689697265625
1760554736716740600,0.60774072265625,-0.9968719482421875,-0.031097412109375,0.006072998046875
1760554736726745600,0.61774560546875,-0.9977569580078125,-0.0278778076171875,0.0074310302734375
1760554736736749300,0.627749267578125,-0.9970550537109375,-0.02496337890625,0.0102691650390625
1760554736746754300,0.63775439453125,-0.9983367919921875,-0.0255889892578125,0.0111083984375
1760554736756758500,0.647758544921875,-0.99853515625,-0.023834228515625,0.011627197265625
1760554736766762500,0.657762451171875,-0.9991607666015625,-0.0250091552734375,0.0093994140625
1760554736776767500,0.667767578125,-0.998626708984375,-0.0250701904296875,0.0065155029296875
1760554736786771500,0.677771484375,-0.9988555908203125,-0.02471923828125,0.0059661865234375
1760554736796775700,0.687775634765625,-0.9991912841796875,-0.024993896484375,0.0061492919921875
1760554736806780700,0.69778076171875,-0.9979095458984375,-0.0240020751953125,0.0070648193359375
1760554736816784400,0.707784423828125,-0.9988861083984375,-0.024200439453125,0.0078887939453125
1760554736826788400,0.717788330078125,-0.9986572265625,-0.024322509765625,0.0109710693359375
1760554736836793300,0.72779345703125,-0.9972686767578125,-0.0268402099609375,0.0089111328125
1760554736846797600,0.737797607421875,-0.9966278076171875,-0.0280609130859375,0.0088043212890625
1760554736856801500,0.747801513671875,-0.9974212646484375,-0.0279388427734375,0.009002685546875
1760554736866806500,0.757806640625,-0.9975433349609375,-0.02801513671875,0.0106964111328125
1760554736876810500,0.767810546875,-0.99755859375,-0.0266571044921875,0.010009765625
1760554736886815500,0.7778154296875,-1.0006561279296875,-0.0259246826171875,0.0106201171875
1760554736896819700,0.78781982421875,-0.9982147216796875,-0.0265350341796875,0.01202392578125
1760554736906823400,0.797823486328125,-0.999053955078125,-0.027099609375,0.01025390625
1760554736916828400,0.807828369140625,-0.99859619140625,-0.02899169921875,0.0067138671875
1760554736926832400,0.817832275390625,-0.9974212646484375,-0.026336669921875,0.0071258544921875
1760554736936836600,0.827836669921875,-0.9975738525390625,-0.0245513916015625,0.0072021484375
1760554736946841600,0.837841552734375,-0.9993743896484375,-0.025054931640625,0.007781982421875
1760554736956845600,0.847845458984375,-0.99993896484375,-0.0249176025390625,0.0091094970703125
1760554736966849500,0.857849609375,-0.9994659423828125,-0.02447509765625,0.0070953369140625
1760554736976854500,0.8678544921875,-0.998504638671875,-0.026123046875,0.0074005126953125
1760554736986858500,0.8778583984375,-0.9991607666015625,-0.0258941650390625,0.0100250244140625
1760554736996862500,0.887862548828125,-0.998199462890625,-0.025604248046875,0.007293701171875
1760554737006867500,0.897867431640625,-0.9990692138671875,-0.0267791748046875,0.0092315673828125
1760554737016871400,0.907871337890625,-0.9991455078125,-0.0251922607421875,0.010467529296875
1760554737026875400,0.91787548828125,-0.9985198974609375,-0.0265655517578125,0.0112762451171875
